Partlist

Exported from aleph-int130808.brd at 8/9/13 7:08 PM

EAGLE Version 6.4.0 Copyright (c) 1988-2013 CadSoft

Part     Value          Package      Library        Position (inch)       Orientation



smd

K4       PVA1           PVA1         monome-inc     (3.025 0.225)         R180
KM       PVA1           PVA1         monome-inc     (6.225 3.025)         R0

P2       EVJ-POT        EVJ-POT      monome-inc     (0.625 3.025)         R270
P3       EVJ-POT        EVJ-POT      monome-inc     (1.425 3.025)         R270
P4       EVJ-POT        EVJ-POT      monome-inc     (2.225 3.025)         R270
P5       EVJ-POT        EVJ-POT      monome-inc     (3.025 3.025)         R270
P7       M-2X06-DIL-100 DIL-100-2X06 con-headers-jp (0.625 2.325)         R0
P9       M-2X14-DIL-100 DIL-100-2X14 con-headers-jp (6.7 1.225)           R270
P10      M-2X03-DIL-100 DIL-100-2X03 con-headers-jp (2.775 0.975)         R0
